발행사명,사업자번호,업종,기준년도,부채비율,부채비율점수,매출액,매출액점수,매출액 영업이익률,매출액 영업이익률점수,총자산 영업이익률,총자산 영업이익률점수,자산규모,자산규모점수,이자보상비율,이자보상비율점수,자기자본 순이익률,자기자본 순이익률점수,차입금의존도,차입금의존도점수,매출액증가율(1~9단계),매출액증가율점수,유동비율,유동비율점수,종합시공능력,종합시공능력점수,전문설비시공능력,전문설비시공능력점수,의료재단등급(1~6),의료재단등급점수,신평사등급/watch(1~7단계),신평사등급점수,주요주주지분(1~4단계),주요주주지분점수,시장금리변동(1~5단계),시장금리변동점수,상장여부(1~4단계),상장여부점수,배서인정보(1~4단계),배서인정보점수,과거이력(1~4단계),과거이력점수,업력(년수),업력점수,종합점수,등급,조정점수,조정등급,부도정보,일자,신평사등급
한솔이엠이,3148144231,전문설비시공,2020,848.75,1.0,"178,761,334",14,-2.64,0,-0.050,-2,"93,755,774",6,-0.78,-1,-98.00,0,29.84,10.0,2,-1.5,1.194,5,308,0.45,68,4.05,,0.00,3,1,5,10,4,3,2,5,2,1,5,10,20,4,70.00,C급,63.00,C급,,,B
일성건설,1058129640,건설업,2020,229.07,15.0,"340,707,105",16,3.01,7.5,0.034,4,"298,701,764",15,1.83,2,3.56,6,33.13,8.0,6,4.0,0.877,3,62,4.05,,0.00,,0.00,5,3,3,5,5,5,4,15,2,1,5,10,43,5,128.55,준A급,115.70,준A급,,,BB+
남산배관센타,2048649332,배관도매업,2019,427.60,4.0,"18,715,668",2,1.25,3,0.033,1,"7,021,168",0,2.45,1,10.68,7.5,29.25,7.0,9,9.0,1.498,3,,0.00,,0.00,,0.00,1,-8,1,2,2,1,1,2,2,1,5,10,6,1,46.50,거절의견,41.85,거절의견,1,2021-04-14,D
대리정밀,5148121162,자동차부품업,2020,336.27,9.0,"61,401,977",6,-0.22,0,-0.003,0,"49,482,884",4,-0.10,-1,-4.48,0,30.40,6.0,2,-1.5,0.095,-1,,0.00,,0.00,,0.00,3,1,1,2,2,1,2,5,2,1,3,2,33,5,38.50,거절의견,34.65,거절의견,,,B
삼진화스너,6038133202,"볼트,너트제조업",2020,102.58,17.0,"12,923,713",1,-4.56,-3,0.000,0,"25,161,420",4,-1.55,-1,-4.82,0,32.95,6.0,3,-1.0,0.916,2,,0.00,,0.00,,0.00,4,2,1,2,2,1,2,5,2,1,3,2,24,4,42.00,거절의견,37.80,거절의견,,,BB
이건창호,7418600712,"금속창,셔터제조",2020,127.17,17.0,"118,609,353",10,-0.32,0,-0.002,0,"168,691,660",15,-0.02,-1,-2.07,1,30.21,8.0,5,2.0,0.609,3,,0.00,,0.00,,0.00,4,2,5,10,4,3,2,5,2,1,5,10,4,1,87.00,준B급,78.30,C급,,,BB
금호건설,1048131309,건설업,2020,244.96,15.0,"1,829,136,281",16,4.43,9.5,0.059,6,"1,380,157,442",15,5.71,5,11.38,10,13.17,14.0,7,6.0,0.938,3,22,4.50,,0.00,,0.00,5,3,5,10,5,5,4,15,2,1,5,10,49,5,153.00,A급,137.70,A급,,,BBB-
성신양회,1018118194,시멘트 제조업,2020,132.79,17.0,"495,995,475",16,5.25,9.5,0.027,4,"950,168,194",15,2.95,3,2.53,6,32.80,8.0,5,2.0,0.669,3,,0.00,,0.00,,0.00,5,3,4,7,5,5,4,15,2,1,5,10,54,5,129.50,준A급,116.55,준A급,,,BBB-
한국하니웰,1068147904,산업공정 제어장비,2020,167.25,17.0,"284,422,128",16,9.74,13.5,0.152,10,"182,644,857",15,99.90,10,37.09,13,0.00,15.0,6,4.0,0.996,3,,0.00,,0.00,,0.00,6,4,4,7,5,5,2,5,2,1,5,10,37,5,153.50,A급,138.15,A급,,,BBB
신안,1338113838,건설업,2020,18.62,20.0,"210,731,470",16,18.03,15.5,0.087,8,"437,833,568",15,1078.60,10,12.96,10,0.97,15.0,6,5.0,6.535,10,55,4.05,,0.00,,0.00,6,4,1,2,5,5,2,5,2,1,5,10,38,5,160.55,A급,144.50,A급,,,BBB
삼정,6078133067,건설업,2020,91.25,19.0,"183,129,895",14,3.06,7.5,0.014,2,"411,104,109",15,3.48,3,3.01,6,33.53,8.0,3,-1.0,2.297,8,74,4.05,,0.00,,0.00,7,5,1,2,5,5,2,5,2,1,5,10,38,5,118.55,준A급,106.70,B급,,,A-
후성정공,1248144749,자동차부품업,2020,265.24,12.0,"141,251,863",13,6.10,11.5,0.076,7,"113,535,064",6,-1.70,-1,-10.69,0,44.03,4.0,6,4.0,0.846,3,,0.00,,0.00,,0.00,3,1,5,10,5,5,2,5,2,1,5,10,25,4,95.50,B급,85.95,준B급,,,B+
영훈의료재단,3148201199,의료재단,2020,481.63,6.0,"215,717,617",16,-2.15,0,0.030,4,"152,821,154",12,-9.62,-2,-32.71,0,34.49,8.0,7,6.0,0.320,0,,0.00,,0.00,1,4.50,4,2,5,10,5,5,2,5,2,1,5,10,36,5,92.50,준B급,83.25,준B급,,,BB-
동하산업,1068109614,의료용품도매업,2020,122.47,15.0,"109,379,988",11,5.32,9.5,0.075,6,"77,539,349",8,99.90,10,5.28,6,0.00,15.0,8,8.0,1.166,5,,0.00,,0.00,,0.00,6,4,4,7,5,5,2,5,2,1,5,10,53,5,130.50,준A급,117.45,준A급,,,BBB
한일개발,1298145758,토목건설업,2020,206.40,13.0,"107,232,182",10,1.43,5.5,0.019,1.5,"79,799,313",7,5.94,5,8.18,8,38.35,6.0,6,4.0,2.186,8,196,1.35,147,3.15,,0.00,6,4,4,7,5,5,2,5,2,1,5,10,20,4,108.50,B급,97.65,B급,,,BBB+
